37.45335802	24.94147683	129.8998794	2009-04-25T07:24:19Z
37.45344303	24.94141005	136.6998794	2009-04-25T07:24:31Z
37.45360685	24.94132333	136.8998794	2009-04-25T07:24:42Z
37.45364322	24.94128912	126.9998794	2009-04-25T07:24:54Z
37.45369365	24.9412654	127.0998794	2009-04-25T07:25:06Z
37.45375227	24.94119023	132.8998794	2009-04-25T07:25:18Z
37.45382737	24.94112858	140.8998794	2009-04-25T07:25:29Z
37.45390525	24.94107252	146.5998794	2009-04-25T07:25:41Z
37.45398338	24.94101167	149.3998794	2009-04-25T07:25:52Z
37.4540615	24.94094393	154.2998794	2009-04-25T07:26:04Z
37.45415517	24.94088062	157.5998794	2009-04-25T07:26:16Z
37.45426202	24.94087317	159.0998794	2009-04-25T07:26:28Z
37.45430327	24.94084782	162.7998794	2009-04-25T07:26:40Z
37.45438567	24.94083748	164.5998794	2009-04-25T07:26:52Z
37.45446858	24.94083628	166.7998794	2009-04-25T07:27:03Z
37.45457012	24.94084812	167.5998794	2009-04-25T07:27:15Z
37.45462422	24.94085957	169.7998794	2009-04-25T07:27:27Z
37.45468663	24.94085768	170.4998794	2009-04-25T07:27:38Z
37.4546963	24.94082327	168.3998794	2009-04-25T07:27:50Z
37.4546949	24.94079212	169.5998794	2009-04-25T07:28:01Z
37.454695	24.94078333	169.7998794	2009-04-25T07:28:12Z
37.4546974	24.94078202	169.8998794	2009-04-25T07:28:24Z
37.45470623	24.94080445	169.1998794	2009-04-25T07:28:36Z
37.45470678	24.94082038	169.6998794	2009-04-25T07:28:48Z
37.45471047	24.94082737	169.3998794	2009-04-25T07:29:00Z
37.45478437	24.94083688	173.7998794	2009-04-25T07:29:11Z
37.45491513	24.94081017	175.0998794	2009-04-25T07:29:23Z
37.45504397	24.94077705	176.3998794	2009-04-25T07:29:35Z
37.45515437	24.94074903	177.1998794	2009-04-25T07:29:46Z
37.45524943	24.94068263	177.8998794	2009-04-25T07:29:58Z
37.45533132	24.94064843	178.9998794	2009-04-25T07:30:07Z
37.4554605	24.940609	179.4998794	2009-04-25T07:30:21Z
37.45554377	24.94058162	180.4998794	2009-04-25T07:30:32Z
37.45562115	24.94056483	181.9998794	2009-04-25T07:30:44Z
37.45565412	24.94057433	185.6998794	2009-04-25T07:30:56Z
37.45569985	24.94058493	186.7998794	2009-04-25T07:31:07Z
37.45577533	24.94055593	188.1998794	2009-04-25T07:31:19Z
37.45585282	24.94052757	190.4998794	2009-04-25T07:31:30Z
37.45591133	24.94050547	191.4998794	2009-04-25T07:31:42Z
37.4560244	24.94049995	192.5998794	2009-04-25T07:31:54Z
37.45613043	24.94050728	193.5998794	2009-04-25T07:32:05Z
37.45622417	24.94056763	193.4998794	2009-04-25T07:32:17Z
37.4563225	24.94066662	194.4998794	2009-04-25T07:32:28Z
37.45645413	24.94070163	193.5998794	2009-04-25T07:32:40Z
37.45654935	24.94072315	194.7998794	2009-04-25T07:32:52Z
37.45662757	24.94075373	195.7998794	2009-04-25T07:33:03Z
37.4567319	24.94079448	195.9998794	2009-04-25T07:33:15Z
37.45681197	24.94081863	197.6998794	2009-04-25T07:33:26Z
37.45683037	24.94083703	200.4998794	2009-04-25T07:33:38Z
37.45689923	24.94081698	202.6998794	2009-04-25T07:33:50Z
37.45695268	24.94083412	204.0998794	2009-04-25T07:34:02Z
37.45699678	24.94085293	206.5998794	2009-04-25T07:34:14Z
37.4570243	24.94088823	211.7998794	2009-04-25T07:34:53Z
37.45702458	24.94088397	211.5998794	2009-04-25T07:34:57Z
37.45702542	24.9407251	214.8998794	2009-04-25T07:35:18Z
37.45696257	24.94066702	218.1998794	2009-04-25T07:35:30Z
37.45695808	24.94060525	222.8998794	2009-04-25T07:35:41Z
37.45697138	24.94051658	225.0998794	2009-04-25T07:35:53Z
37.45700095	24.9404413	227.4998794	2009-04-25T07:36:04Z
37.45702365	24.94036017	229.7998794	2009-04-25T07:36:16Z
37.4619563	24.93567742	330.9998794	2009-04-25T07:50:29Z
37.4619843	24.93570067	330.8998794	2009-04-25T07:50:41Z
37.46199153	24.93570395	331.0998794	2009-04-25T07:50:52Z
37.4619975	24.9357007	330.8998794	2009-04-25T07:51:03Z
37.4620036	24.93570173	331.3998794	2009-04-25T07:51:14Z
37.46201513	24.93569828	331.4998794	2009-04-25T07:51:25Z
37.46213168	24.93562327	332.4998794	2009-04-25T07:51:37Z
37.46225123	24.93556362	334.1998794	2009-04-25T07:51:48Z
37.46238588	24.93552595	333.8998794	2009-04-25T07:52:00Z
37.4625	24.93549842	333.0998794	2009-04-25T07:52:11Z
37.46259668	24.93546975	334.2998794	2009-04-25T07:52:23Z
37.4627051	24.93544822	334.4998794	2009-04-25T07:52:35Z
37.46272608	24.93543632	333.2998794	2009-04-25T07:52:46Z
37.46281012	24.93541528	333.7998794	2009-04-25T07:52:58Z
37.46282155	24.93544185	332.7998794	2009-04-25T07:53:10Z
37.4628149	24.93544837	333.3998794	2009-04-25T07:53:21Z
37.4628158	24.935445	333.7998794	2009-04-25T07:53:32Z
37.46281722	24.93544955	333.8998794	2009-04-25T07:53:44Z
37.4628176	24.93544817	333.8998794	2009-04-25T07:53:55Z
37.46292662	24.93540968	335.3998794	2009-04-25T07:54:07Z
37.4630052	24.93538883	335.5998794	2009-04-25T07:54:18Z
37.46309295	24.9353302	334.7998794	2009-04-25T07:54:30Z
37.4631008	24.93534607	334.9998794	2009-04-25T07:54:42Z
37.4631033	24.93534455	334.3998794	2009-04-25T07:54:54Z
